book_title,book_author,film_title,film_year,fiction_work_raw,film_adaptation_raw,exclusion_reason
David Copperfield,Charles Dickens,David Copperfield,1993,"David Copperfield (serialised 1849–1850, published as a book 1850), Charles Dickens",David Copperfield (1993),book_published_1850_or_earlier_or_unknown_year
David Copperfield,Charles Dickens,David Copperfield,1999,"David Copperfield (serialised 1849–1850, published as a book 1850), Charles Dickens",David Copperfield (1999),book_published_1850_or_earlier_or_unknown_year
David Copperfield,Charles Dickens,David Copperfield,2000,"David Copperfield (serialised 1849–1850, published as a book 1850), Charles Dickens",David Copperfield (2000),book_published_1850_or_earlier_or_unknown_year
David Copperfield,Charles Dickens,The Personal History of David Copperfield,2019,"David Copperfield (serialised 1849–1850, published as a book 1850), Charles Dickens",The Personal History of David Copperfield (2019),book_published_1850_or_earlier_or_unknown_year
The Death of Arthur,Sir Thomas Malory,Excalibur,1981,"The Death of Arthur (French: Le Morte d'Arthur) (1485), Sir Thomas Malory",Excalibur (1981),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Don Quixote,1983,"Don Quixote (1605–1615), Miguel de Cervantes",Don Quixote (Italian: Don Chisciotte) (1983),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Don Quixote of La Mancha,1987,"Don Quixote (1605–1615), Miguel de Cervantes",Don Quixote of La Mancha (1987),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Don Quixote Returns,1997,"Don Quixote (1605–1615), Miguel de Cervantes",Don Quixote Returns (Russian: Дон Кихот возвращается) (1997),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Don Quixote,2000,"Don Quixote (1605–1615), Miguel de Cervantes",Don Quixote (2000),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,"Don Quixote, Knight Errant",2002,"Don Quixote (1605–1615), Miguel de Cervantes","Don Quixote, Knight Errant (Spanish: El caballero Don Quijote) (2002)",book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Honor of the Knights,2006,"Don Quixote (1605–1615), Miguel de Cervantes",Honor of the Knights (Catalan: Honor de cavalleria) (2006),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Donkey Xote,2007,"Don Quixote (1605–1615), Miguel de Cervantes",Donkey Xote (2007),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Don Quichote: Gib niemals auf!,2008,"Don Quixote (1605–1615), Miguel de Cervantes",Don Quichote: Gib niemals auf! (2008),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Don Quixote,2010,"Don Quixote (1605–1615), Miguel de Cervantes",Don Quixote (2010),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,Don Quixote,2015,"Don Quixote (1605–1615), Miguel de Cervantes",Don Quixote (2015),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,The Man Who Killed Don Quixote,2018,"Don Quixote (1605–1615), Miguel de Cervantes",The Man Who Killed Don Quixote (2018),book_published_1850_or_earlier_or_unknown_year
Don Quixote,Miguel de Cervantes,The True Don Quixote,2019,"Don Quixote (1605–1615), Miguel de Cervantes",The True Don Quixote (2019),book_published_1850_or_earlier_or_unknown_year
Emma,Jane Austen,Clueless,1995,"Emma (1815), Jane Austen",Clueless (1995),book_published_1850_or_earlier_or_unknown_year
Emma,Jane Austen,Emma,1996,"Emma (1815), Jane Austen",Emma (1996),book_published_1850_or_earlier_or_unknown_year
Emma,Jane Austen,Aisha,2010,"Emma (1815), Jane Austen",Aisha (2010),book_published_1850_or_earlier_or_unknown_year
Emma,Jane Austen,Emma.,2020,"Emma (1815), Jane Austen",Emma. (2020),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,"Frankenstein (恐怖伝説 怪奇！フランケンシュタイン, Kyōfu Densetsu: Kaiki! Furankenshutain)",1981,"Frankenstein (1818), Mary Shelley","Frankenstein (恐怖伝説 怪奇！フランケンシュタイン, Kyōfu Densetsu: Kaiki! Furankenshutain) (1981)",book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein Island,1981,"Frankenstein (1818), Mary Shelley",Frankenstein Island (1981),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein's Mother-in-Law,1983,"Frankenstein (1818), Mary Shelley",Frankenstein's Mother-in-Law (German: Frankensteins Schwiegermutter) (1983),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein,1984,"Frankenstein (1818), Mary Shelley",Frankenstein (1984),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein 90,1984,"Frankenstein (1818), Mary Shelley",Frankenstein 90 (1984),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein's Great Aunt Tillie,1984,"Frankenstein (1818), Mary Shelley",Frankenstein's Great Aunt Tillie (1984),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,The Bride,1985,"Frankenstein (1818), Mary Shelley",The Bride (1985),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein,1986,"Frankenstein (1818), Mary Shelley",Frankenstein (1986),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein General Hospital,1988,"Frankenstein (1818), Mary Shelley",Frankenstein General Hospital (1988),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenhooker,1990,"Frankenstein (1818), Mary Shelley",Frankenhooker (1990),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein Unbound,1990,"Frankenstein (1818), Mary Shelley",Frankenstein Unbound (1990),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frank Enstein,1991,"Frankenstein (1818), Mary Shelley",Frank Enstein (1991),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein: The College Years,1991,"Frankenstein (1818), Mary Shelley",Frankenstein: The College Years (1991),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein,1992,"Frankenstein (1818), Mary Shelley",Frankenstein (1992),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Mary Shelley's Frankenstein,1994,"Frankenstein (1818), Mary Shelley",Mary Shelley's Frankenstein (1994),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein and Me,1996,"Frankenstein (1818), Mary Shelley",Frankenstein and Me (1996),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Billy Frankenstein,1998,"Frankenstein (1818), Mary Shelley",Billy Frankenstein (1998),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Lust for Frankenstein,1998,"Frankenstein (1818), Mary Shelley",Lust for Frankenstein (1998),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein Reborn!,1998,"Frankenstein (1818), Mary Shelley",Frankenstein Reborn! (1998),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Rock 'N Roll Frankenstein,1999,"Frankenstein (1818), Mary Shelley",Rock 'N Roll Frankenstein (1999),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Alvin and the Chipmunks Meet Frankenstein,1999,"Frankenstein (1818), Mary Shelley",Alvin and the Chipmunks Meet Frankenstein (1999),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Van Helsing,2004,"Frankenstein (1818), Mary Shelley",Van Helsing (2004),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein,2004,"Frankenstein (1818), Mary Shelley",Frankenstein (2004),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein vs. the Creature from Blood Cove,2005,"Frankenstein (1818), Mary Shelley",Frankenstein vs. the Creature from Blood Cove (2005),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein,2007,"Frankenstein (1818), Mary Shelley",Frankenstein (2007),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Bikini Frankenstein,2011,"Frankenstein (1818), Mary Shelley",Bikini Frankenstein (2011),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein: Day of the Beast,2011,"Frankenstein (1818), Mary Shelley",Frankenstein: Day of the Beast (2011),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenweenie,2012,"Frankenstein (1818), Mary Shelley",Frankenweenie (2012),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,The Frankenstein Theory,2013,"Frankenstein (1818), Mary Shelley",The Frankenstein Theory (2013),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,"I, Frankenstein",2014,"Frankenstein (1818), Mary Shelley","I, Frankenstein (2014)",book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Army of Frankensteins,2014,"Frankenstein (1818), Mary Shelley",Army of Frankensteins (2014),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Frankenstein vs. The Mummy,2015,"Frankenstein (1818), Mary Shelley",Frankenstein vs. The Mummy (2015),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,FRANKƐN5TƐ1N,2015,"Frankenstein (1818), Mary Shelley",FRANKƐN5TƐ1N (2015),book_published_1850_or_earlier_or_unknown_year
Frankenstein,Mary Shelley,Victor Frankenstein,2015,"Frankenstein (1818), Mary Shelley",Victor Frankenstein (2015),book_published_1850_or_earlier_or_unknown_year
Gulliver's Travels,Jonathan Swift,Gulliver in the Country of Giants,1980,"Gulliver's Travels (1726), Jonathan Swift",Gulliver in the Country of Giants (Hungarian: Gulliver az óriások országában) (1980),book_published_1850_or_earlier_or_unknown_year
Gulliver's Travels,Jonathan Swift,Gulliver's Travels,1983,"Gulliver's Travels (1726), Jonathan Swift",Gulliver's Travels (Spanish: Los viajes de Gulliver) (1983),book_published_1850_or_earlier_or_unknown_year
Gulliver's Travels,Jonathan Swift,Gulliver's Travels (1996) (V),1996,"Gulliver's Travels (1726), Jonathan Swift",Gulliver's Travels (1996) (V),book_published_1850_or_earlier_or_unknown_year
Gulliver's Travels,Jonathan Swift,Crayola Kids Adventures: Tales of Gulliver's Travels,1997,"Gulliver's Travels (1726), Jonathan Swift",Crayola Kids Adventures: Tales of Gulliver's Travels (1997),book_published_1850_or_earlier_or_unknown_year
Gulliver's Travels,Jonathan Swift,Jajantaram Mamantaram,2003,"Gulliver's Travels (1726), Jonathan Swift",Jajantaram Mamantaram (2003),book_published_1850_or_earlier_or_unknown_year
Gulliver's Travels,Jonathan Swift,Gulliver's Travel,2005,"Gulliver's Travels (1726), Jonathan Swift",Gulliver's Travel (2005),book_published_1850_or_earlier_or_unknown_year
Gulliver's Travels,Jonathan Swift,Gulliver's Travels,2010,"Gulliver's Travels (1726), Jonathan Swift",Gulliver's Travels (2010),book_published_1850_or_earlier_or_unknown_year
"The History of Tom Jones, a Foundling",Henry Fielding,Tom Jones,1996,"The History of Tom Jones, a Foundling (1749), Henry Fielding",Tom Jones (1996),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback of Notre Dame,1982,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback of Notre Dame (1982),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback of Notre Dame,1986,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback of Notre Dame (1986),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Secret of the Hunchback,1996,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Secret of the Hunchback (1996),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback of Notre Dame (1996; Golden Films),1996,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback of Notre Dame (1996; Golden Films),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback of Notre Dame (1996; Jetlag Productions),1996,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback of Notre Dame (1996; Jetlag Productions),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback of Notre Dame (1996; Burbank Animation Studios),1996,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback of Notre Dame (1996; Burbank Animation Studios),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback of Notre Dame (1996; Walt Disney Animation Studios),1996,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback of Notre Dame (1996; Walt Disney Animation Studios),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback of Notre Dame (1996; Dingo Pictures),1996,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback of Notre Dame (1996; Dingo Pictures),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback,1997,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback (1997),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,Quasimodo d'El Paris,1999,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",Quasimodo d'El Paris (1999),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,The Hunchback of Notre Dame II,2002,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",The Hunchback of Notre Dame II (2002),book_published_1850_or_earlier_or_unknown_year
The Hunchback of Notre-Dame,Victor Hugo,Quasi,2023,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482) (1831), Victor Hugo",Quasi (2023),book_published_1850_or_earlier_or_unknown_year
Ivanhoe,Sir Walter Scott,Ivanhoe,1982,"Ivanhoe (1820), Sir Walter Scott",Ivanhoe (1982),book_published_1850_or_earlier_or_unknown_year
Ivanhoe,Sir Walter Scott,The Ballad of the Valiant Knight Ivanhoe,1983,"Ivanhoe (1820), Sir Walter Scott",The Ballad of the Valiant Knight Ivanhoe (Russian: Баллада о доблестном рыцаре Айвенго) (1983),book_published_1850_or_earlier_or_unknown_year
Ivanhoe,Sir Walter Scott,Ivanhoe,1986,"Ivanhoe (1820), Sir Walter Scott",Ivanhoe (1986),book_published_1850_or_earlier_or_unknown_year
Ivanhoe,Sir Walter Scott,Young Ivanhoe,1995,"Ivanhoe (1820), Sir Walter Scott",Young Ivanhoe (1995),book_published_1850_or_earlier_or_unknown_year
Ivanhoe,Sir Walter Scott,The Legend of Ivanhoe,1999,"Ivanhoe (1820), Sir Walter Scott",The Legend of Ivanhoe (1999),book_published_1850_or_earlier_or_unknown_year
Jane Eyre,Charlotte Brontë,Jane Eyre,1996,"Jane Eyre (1847), Charlotte Brontë",Jane Eyre (1996),book_published_1850_or_earlier_or_unknown_year
Jane Eyre,Charlotte Brontë,Jane Eyre,1997,"Jane Eyre (1847), Charlotte Brontë",Jane Eyre (1997),book_published_1850_or_earlier_or_unknown_year
Jane Eyre,Charlotte Brontë,Jane Eyre,2011,"Jane Eyre (1847), Charlotte Brontë",Jane Eyre (2011),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Ginseng Fruit (人参果; Renshenguo),1981,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Ginseng Fruit (人参果; Renshenguo) (1981),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,New Pilgrims to the West (新西遊記; Xīnxīyóujì),1982,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",New Pilgrims to the West (新西遊記; Xīnxīyóujì) (1982),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Monkey War (新西遊記續集 孫悟空大戰飛人國; Sun Wu Kong dai zhan fei ren kuo),1982,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Monkey War (新西遊記續集 孫悟空大戰飛人國; Sun Wu Kong dai zhan fei ren kuo) (1982),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,The Monkey King Conquers the Demon (金猴降妖; Jīn hóu jiàng yāo),1985,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",The Monkey King Conquers the Demon (金猴降妖; Jīn hóu jiàng yāo) (1985),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Go West to Subdue Demons (西行平妖; Xi Xing Ping Yao),1992,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Go West to Subdue Demons (西行平妖; Xi Xing Ping Yao) (1992),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,A Chinese Odyssey Part One: Pandora's Box (西遊記第壹佰零壹回之月光寶盒; Xīyóujì Dì Yībǎilíngyī Huí Zhī Yuèguāng Bǎohé),1995,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",A Chinese Odyssey Part One: Pandora's Box (西遊記第壹佰零壹回之月光寶盒; Xīyóujì Dì Yībǎilíngyī Huí Zhī Yuèguāng Bǎohé) (1995),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,A Chinese Odyssey Part Two: Cinderella (西遊記大結局之仙履奇緣; Xīyóujì Dà Jiéjú Zhī Xiānlǚ Qíyuán),1995,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",A Chinese Odyssey Part Two: Cinderella (西遊記大結局之仙履奇緣; Xīyóujì Dà Jiéjú Zhī Xiānlǚ Qíyuán) (1995),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Heavenly Legend,1998,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Heavenly Legend (1998),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,My Son Goku (ぼくの孫悟空),2003,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",My Son Goku (ぼくの孫悟空) (2003),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,A Chinese Tall Story,2005,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",A Chinese Tall Story (Chinese: 情癲大聖; Cantonese Yale: Ching din dai sing) (2005),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Fire Ball (紅孩兒：決戰火焰山),2005,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Fire Ball (紅孩兒：決戰火焰山) (2005),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Monkey King vs. Er Lang Shen (孙悟空大战二郎神),2007,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Monkey King vs. Er Lang Shen (孙悟空大战二郎神) (2007),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Monkey Magic: The Movie,2007,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Monkey Magic: The Movie (2007),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,The Forbidden Kingdom,2008,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",The Forbidden Kingdom (2008),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Journey to the West: Conquering the Demons (西遊·降魔篇),2013,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Journey to the West: Conquering the Demons (西遊·降魔篇) (2013),book_published_1850_or_earlier_or_unknown_year
