Rank,Title,Domestic Gross,Year,is_book,is_book_match_src,is_book_match,imdb_rating,imdb_vote_count,runtime_minutes,movie_genre_raw,movie_release_month,mpaa_rating,distributor,book_avg_rating,book_ratings_count,book_reviews_count,book_page_count,book_series_indicator,book_description_length,goodreads_match_score
64,The Passion of the Christ,370782930,2004,0,,,7.3,270032.0,127.0,Drama,2.0,R,Netflix | Newmarket Films,,,,,,,
65,Minions: The Rise of Gru,370549695,2022,0,,,6.5,104289.0,87.0,"Adventure,Animation,Comedy",6.0,PG,Universal Pictures | UIP-Dunafilm,,,,,,,
66,The Batman,369801546,2022,0,,,7.8,918511.0,176.0,"Action,Crime,Drama",3.0,PG-13,Universal Pictures | InterCom,,,,,,,
67,The Secret Life of Pets,368623860,2016,0,,,6.5,234354.0,86.0,"Adventure,Animation,Comedy",6.0,PG,Universal Pictures | UIP-Dunafilm,,,,,,,
68,Despicable Me 2,368065385,2013,0,,,7.3,457014.0,98.0,"Adventure,Animation,Comedy",6.0,PG,Universal Pictures,,,,,,,
69,The Jungle Book,364001123,2016,1,wikipedia_raw,The Jungle Book (2016),7.3,304687.0,106.0,"Action,Adventure,Animation",4.0,PG,Netflix | Walt Disney Studios Motion Pictures,4.01,109.0,7.0,,0.0,933.0,100.0
70,Deadpool,363070709,2016,0,,,8.0,1246120.0,108.0,"Action,Comedy,Sci-Fi",2.0,R,20th Century Studios | Netflix | InterCom,,,,,,,
71,Despicable Me 4,361004205,2024,0,,,6.2,77225.0,94.0,"Adventure,Animation,Comedy",6.0,PG,,,,,,,,
72,Guardians of the Galaxy Vol. 3,358995815,2023,0,,,7.9,465430.0,150.0,"Action,Adventure,Comedy",5.0,PG-13,Fórum Hungary | Disney Platform Distribution | Disney+,,,,,,,
73,Inside Out,356461711,2015,0,,,8.1,907243.0,95.0,"Adventure,Animation,Comedy",6.0,PG,,,,,,,,
74,Aladdin,355559216,2019,0,,,6.9,313080.0,128.0,"Adventure,Comedy,Family",5.0,PG,Microsoft Store | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
75,Superman,354223803,2025,0,,,7.0,395167.0,129.0,"Action,Adventure,Sci-Fi",7.0,PG-13,Warner Bros. Entertainment | InterCom,,,,,,,
76,Furious 7,353007020,2015,0,,,7.1,437890.0,137.0,"Action,Thriller",4.0,PG-13,Microsoft Store | Netflix | UIP-Dunafilm,,,,,,,
77,Transformers: Dark of the Moon,352390543,2011,0,,,6.2,454031.0,154.0,"Action,Adventure,Comedy",6.0,PG-13,Paramount Pictures | Netflix | UIP-Dunafilm,,,,,,,
78,American Sniper,350159020,2014,0,,,7.3,566422.0,133.0,"Action,Biography,Drama",12.0,R,Warner Bros. Entertainment | Netflix,,,,,,,
79,The Lord of the Rings: The Two Towers,350104956,2002,1,wikipedia_raw,The Lord of the Rings: The Two Towers (2002),8.8,1944405.0,179.0,"Adventure,Drama,Fantasy",12.0,PG-13,New Line Cinema,4.59,257.0,18.0,,0.0,,100.0
80,Thor: Love and Thunder,343256830,2022,0,,,6.1,456456.0,118.0,"Action,Adventure,Comedy",7.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures,,,,,,,
81,Wicked: For Good,342915090,2025,1,wikipedia_raw,Wicked: For Good (2025),6.7,60096.0,137.0,"Drama,Family,Fantasy",11.0,PG,Universal Pictures | UIP-Dunafilm,3.52,913.0,124.0,406.0,1.0,837.0,100.0
82,Zootopia,341268248,2016,0,,,8.0,626232.0,108.0,"Action,Adventure,Animation",2.0,PG,,,,,,,,
83,Jurassic World: Rebirth,339640400,2025,1,wikipedia_raw,Jurassic World Rebirth (2025),5.8,188049.0,133.0,"Action,Adventure,Sci-Fi",7.0,PG-13,,3.97,1154.0,137.0,448.0,1.0,1176.0,100.0
84,Spider-Man 3,338032318,2007,0,,,6.3,694770.0,139.0,"Action,Adventure,Sci-Fi",5.0,PG-13,Sony Pictures | Netflix | InterCom | Disney+,,,,,,,
85,The Hunger Games: Mockingjay - Part 1,337135885,2014,1,wikipedia_raw,The Hunger Games: Mockingjay - Part 1 (2014),6.6,543020.0,123.0,"Action,Adventure,Sci-Fi",11.0,PG-13,,4.03,4911.0,57.0,455.0,1.0,827.0,100.0
86,Minions,336045770,2015,0,,,6.4,282473.0,91.0,"Adventure,Animation,Comedy",6.0,PG,Universal Pictures | Netflix,,,,,,,
87,Joker,335477657,2019,0,,,8.3,1679945.0,122.0,"Crime,Drama,Thriller",10.0,R,Warner Bros. Entertainment | InterCom,,,,,,,
88,Aquaman,335104314,2018,0,,,6.8,550947.0,143.0,"Action,Adventure,Fantasy",12.0,PG-13,Netflix | InterCom | Warner Bros. Pictures,,,,,,,
89,Spider-Man: Homecoming,334952829,2017,0,,,7.4,790045.0,133.0,"Action,Adventure,Sci-Fi",7.0,PG-13,Sony Pictures | Netflix | InterCom,,,,,,,
90,Alice in Wonderland,334191110,2010,0,,,6.4,466007.0,108.0,"Adventure,Family,Fantasy",3.0,,Netflix | Fórum Hungary,,,,,,,
91,Guardians of the Galaxy,333718600,2014,0,,,8.0,1356172.0,121.0,"Action,Adventure,Comedy",7.0,PG-13,Netflix | Fórum Hungary,,,,,,,
92,Forrest Gump,330455270,1994,1,wikipedia_raw,Forrest Gump (1994),8.8,2479175.0,142.0,"Drama,Romance",6.0,PG-13,,4.06,1555.0,105.0,318.0,1.0,718.0,100.0
93,Batman v Superman: Dawn of Justice,330360194,2016,0,,,6.4,788850.0,151.0,"Action,Adventure,Sci-Fi",3.0,PG-13,Warner Bros. Entertainment | Netflix | InterCom,,,,,,,
94,Oppenheimer,330078895,2023,0,,,8.2,1010759.0,180.0,"Biography,Drama,History",7.0,R,Universal Pictures | UIP-Dunafilm | HBO Max,,,,,,,
95,It,328874981,2017,0,,,7.3,690399.0,135.0,Horror,9.0,R,New Line Cinema | Warner Bros. Entertainment,,,,,,,
96,The Lord of the Rings: The Fellowship of the Ring,325873309,2001,1,wikipedia_raw,The Lord of the Rings: The Fellowship of the Ring (2001),8.9,2192724.0,178.0,"Adventure,Drama,Fantasy",12.0,PG-13,New Line Cinema,4.59,257.0,18.0,,0.0,,100.0
97,Suicide Squad,325100054,2016,0,,,5.9,756864.0,123.0,"Action,Adventure,Fantasy",8.0,PG-13,Warner Bros. Entertainment | Netflix | InterCom,,,,,,,
98,Deadpool 2,324591735,2018,0,,,7.6,739947.0,119.0,"Action,Adventure,Comedy",5.0,R,20th Century Studios | Disney+,,,,,,,
99,Shrek the Third,322719944,2007,0,,,6.1,358651.0,93.0,"Adventure,Animation,Comedy",5.0,PG,,,,,,,,
100,Jumanji: The Next Level,320314960,2019,0,,,6.6,316722.0,123.0,"Action,Adventure,Comedy",12.0,PG-13,InterCom | Sony Pictures Motion Picture Group,,,,,,,
101,Harry Potter and the Sorcerer's Stone,319765078,2001,0,,,7.7,945295.0,152.0,"Adventure,Family,Fantasy",11.0,PG,,,,,,,,
102,Transformers,319246193,2007,0,,,7.1,715078.0,144.0,"Action,Adventure,Sci-Fi",6.0,PG-13,Paramount Pictures | DreamWorks,,,,,,,
103,Iron Man,319034126,2008,0,,,7.9,1216121.0,126.0,"Action,Adventure,Sci-Fi",4.0,PG-13,Paramount Pictures | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
104,Indiana Jones and the Kingdom of the Crystal Skull,317101119,2008,0,,,6.2,512341.0,122.0,"Action,Adventure",5.0,PG-13,Paramount Pictures | Disney+,,,,,,,
105,Star Wars: Episode VI - Return of the Jedi,316566101,1983,0,,,8.3,1202909.0,131.0,"Action,Adventure,Fantasy",,,,,,,,,,
106,Thor: Ragnarok,315058289,2017,0,,,7.9,888698.0,130.0,"Action,Adventure,Comedy",10.0,PG-13,Netflix | Walt Disney Studios Motion Pictures,,,,,,,
107,Iron Man 2,312433331,2010,0,,,6.9,931927.0,124.0,"Action,Sci-Fi",4.0,PG-13,Paramount Pictures | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
108,Star Wars: Episode II - Attack of the Clones,310676740,2002,0,,,6.6,815709.0,142.0,"Action,Adventure,Fantasy",5.0,NR,,,,,,,,
109,Pirates of the Caribbean: At World's End,309420425,2007,0,,,7.2,740160.0,169.0,"Action,Adventure,Fantasy",5.0,PG-13,iTunes | Netflix | Fórum Hungary | Disney+,,,,,,,
110,The Super Mario Galaxy Movie,308117135,2026,0,,,,,98.0,"Adventure,Animation,Comedy",4.0,PG,,,,,,,,
111,Independence Day,306169268,1996,0,,,7.0,643974.0,145.0,"Action,Adventure,Sci-Fi",6.0,PG-13,20th Century Studios | Netflix | Disney+,,,,,,,
112,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,2003,0,,,8.1,1315923.0,143.0,"Action,Adventure,Fantasy",7.0,PG-13,Netflix | InterCom | Disney+,,,,,,,
113,Skyfall,304360277,2012,0,,,7.8,769506.0,143.0,"Action,Adventure,Thriller",10.0,PG-13,Netflix | Fórum Hungary,,,,,,,
114,The Hobbit: An Unexpected Journey,303030651,2012,1,wikipedia_raw,The Hobbit: An Unexpected Journey (2012),7.8,923850.0,169.0,"Adventure,Fantasy",12.0,PG-13,Netflix | Fórum Hungary,4.25,7733.0,762.0,306.0,1.0,1859.0,100.0
115,Harry Potter and the Half-Blood Prince,302334374,2009,1,wikipedia_raw,Harry Potter and the Half-Blood Prince (2009),7.6,655251.0,153.0,"Action,Adventure,Family",7.0,PG,Warner Bros. Entertainment | Netflix | InterCom,4.54,10.0,1.0,,1.0,459.0,100.0
116,The Twilight Saga: Eclipse,300840764,2010,1,wikipedia_raw,The Twilight Saga: Eclipse (2010),5.1,280054.0,124.0,"Action,Adventure,Drama",6.0,PG-13,Summit Entertainment | Netflix | Fórum Hungary,3.69,237.0,7.0,,1.0,492.0,100.0
117,The Twilight Saga: New Moon,298410482,2009,1,wikipedia_raw,The Twilight Saga: New Moon (2009),4.8,320563.0,130.0,"Adventure,Drama,Fantasy",11.0,PG-13,Summit Entertainment | Netflix | Fórum Hungary,3.52,398.0,23.0,,1.0,383.0,100.0
118,The Little Mermaid,298172056,2023,0,,,7.2,177705.0,135.0,"Adventure,Family,Fantasy",5.0,PG,Fórum Hungary | Walt Disney Studios Motion Pictures,,,,,,,
119,Harry Potter and the Deathly Hallows: Part 1,296374621,2010,1,wikipedia_raw,Harry Potter and the Deathly Hallows – Part 1 (2010),7.7,659638.0,146.0,"Adventure,Family,Fantasy",11.0,PG-13,,4.62,3535.0,21.0,,1.0,285.0,100.0
120,Beetlejuice Beetlejuice,294100435,2024,0,,,6.6,171923.0,105.0,"Comedy,Fantasy,Horror",9.0,PG-13,Warner Bros. Entertainment | InterCom | Warner Bros. Pictures,,,,,,,
121,The Sixth Sense,293506292,1999,0,,,8.2,1137822.0,107.0,"Drama,Mystery,Thriller",8.0,PG-13,Touchstone Pictures | Netflix,,,,,,,
122,The Twilight Saga: Breaking Dawn - Part 2,293144686,2012,1,wikipedia_raw,The Twilight Saga: Breaking Dawn – Part 2 (2012),5.6,280824.0,115.0,"Adventure,Drama,Fantasy",11.0,PG-13,,3.7,318.0,104.0,640.0,1.0,898.0,100.0
123,Up,293004164,2009,0,,,8.3,1227571.0,96.0,"Adventure,Animation,Comedy",5.0,PG,,,,,,,,
124,Star Wars: Episode V - The Empire Strikes Back,292753960,1980,0,,,8.7,1496203.0,124.0,"Action,Adventure,Fantasy",,,,,,,,,,
125,Inception,292587330,2010,0,,,8.8,2795316.0,148.0,"Action,Adventure,Sci-Fi",7.0,PG-13,Netflix | InterCom,,,,,,,
126,Harry Potter and the Order of the Phoenix,292382727,2007,1,wikipedia_raw,Harry Potter and the Order of the Phoenix (2007),7.5,695142.0,138.0,"Action,Adventure,Family",7.0,PG-13,Warner Bros. Entertainment,4.47,20.0,1.0,,1.0,462.0,100.0
127,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,291710957,2005,1,wikipedia_raw,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",6.9,455945.0,143.0,"Adventure,Family,Fantasy",12.0,PG,,4.19,19.0,4.0,,1.0,522.0,100.0
128,Harry Potter and the Goblet of Fire,291239805,2005,1,wikipedia_raw,Harry Potter and the Goblet of Fire (2005),7.7,747652.0,157.0,"Adventure,Family,Fantasy",11.0,PG-13,Warner Bros. Entertainment | Netflix,4.53,3314.0,53.0,,1.0,683.0,100.0
129,Man of Steel,291045518,2013,0,,,7.1,863191.0,143.0,"Action,Adventure,Sci-Fi",6.0,PG-13,Warner Bros. Entertainment | Netflix,,,,,,,
130,Monsters Inc.,290642256,2001,0,,,8.1,1067760.0,92.0,"Adventure,Animation,Comedy",11.0,G,,,,,,,,
131,Home Alone,285761243,1990,0,,,7.8,739737.0,103.0,"Comedy,Family",11.0,PG,MOKÉP | Disney+,,,,,,,
132,Dune: Part Two,282144358,2024,1,adaptation_dataset,Dune: Part Two,8.4,722124.0,166.0,"Action,Adventure,Drama",2.0,PG-13,Warner Bros. Entertainment | Universal Pictures | InterCom | Warner Bros. Pictures,4.2,8271.0,266.0,,1.0,564.0,100.0
133,The Twilight Saga: Breaking Dawn - Part 1,281797623,2011,1,wikipedia_raw,The Twilight Saga: Breaking Dawn – Part 1 (2011),5.0,271850.0,117.0,"Adventure,Drama,Fantasy",11.0,PG-13,,3.7,318.0,104.0,640.0,1.0,898.0,100.0
134,The Hunger Games: Mockingjay - Part 2,281723902,2015,1,wikipedia_raw,The Hunger Games: Mockingjay - Part 2 (2015),6.6,411101.0,137.0,"Action,Adventure,Sci-Fi",11.0,PG-13,,4.03,4911.0,57.0,455.0,1.0,827.0,100.0
135,The Matrix Reloaded,281576461,2003,0,,,7.2,667713.0,138.0,"Action,Sci-Fi",5.0,R,Warner Bros. Entertainment | Netflix,,,,,,,
136,Jaws,280083300,1975,1,wikipedia_raw,Jaws (1975),8.1,732747.0,124.0,"Adventure,Horror,Thriller",6.0,PG,Universal Pictures | Netflix,3.96,867.0,134.0,309.0,1.0,281.0,100.0
137,Sinners,279989632,2025,0,,,7.5,423508.0,137.0,"Action,Drama,Horror",4.0,R,InterCom | Warner Bros. Pictures,,,,,,,
138,Meet the Fockers,279261160,2004,0,,,6.4,301212.0,115.0,"Comedy,Romance",12.0,PG-13,Universal Pictures | DreamWorks | Netflix | UIP-Dunafilm,,,,,,,
139,The Hangover,277339746,2009,0,,,7.7,923052.0,100.0,Comedy,6.0,R,Warner Bros. Entertainment | Microsoft Store | Netflix,,,,,,,
140,The Fantastic Four: First Steps,274286610,2025,0,,,6.8,251770.0,115.0,"Action,Adventure,Sci-Fi",7.0,PG-13,Fórum Hungary,,,,,,,
141,Gravity,274092705,2013,0,,,7.7,896581.0,91.0,"Drama,Sci-Fi,Thriller",10.0,PG-13,iTunes | Warner Bros. Entertainment,,,,,,,
142,The Grinch,272504456,2018,0,,,6.4,113221.0,85.0,"Animation,Comedy,Family",11.0,PG,Universal Pictures | Netflix | UIP-Dunafilm,,,,,,,
143,Sing,270578425,2016,0,,,7.1,211022.0,108.0,"Animation,Comedy,Family",11.0,PG,,,,,,,,
144,Shrek,268698241,2001,0,,,7.9,805281.0,90.0,"Adventure,Animation,Comedy",5.0,PG,,,,,,,,
145,Monsters University,268492764,2013,0,,,7.2,422051.0,104.0,"Adventure,Animation,Comedy",6.0,G,Netflix | Fórum Hungary,,,,,,,
146,Twisters,267762265,2024,0,,,6.5,192602.0,122.0,"Action,Adventure,Thriller",7.0,PG-13,Universal Pictures | InterCom | Warner Bros. Pictures,,,,,,,
147,How the Grinch Stole Christmas,264965545,2000,0,,,6.4,332030.0,104.0,"Comedy,Family,Fantasy",11.0,PG,,,,,,,,
148,Despicable Me 3,264624300,2017,0,,,6.3,179000.0,89.0,"Adventure,Animation,Comedy",6.0,PG,,,,,,,,
149,Harry Potter and the Chamber of Secrets,263094348,2002,1,wikipedia_raw,Harry Potter and the Chamber of Secrets (2002),7.5,761243.0,161.0,"Adventure,Family,Fantasy",11.0,PG,Warner Bros. Entertainment | Netflix,4.38,3528.0,30.0,,1.0,967.0,100.0
150,How to Train Your Dragon,262958100,2025,0,,,7.7,127788.0,125.0,"Action,Adventure,Comedy",6.0,PG,Universal Pictures | UIP-Dunafilm,,,,,,,
151,The Amazing Spider-Man,262782352,2012,0,,,6.9,759198.0,136.0,"Action,Sci-Fi",6.0,PG-13,Columbia Pictures | Netflix,,,,,,,
